ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
1,1,Skatepark Fontaine-le-Comte,Skatepark 86 Vienne,both,"Skatepark Fontaine-le-Comte 86 Vienne, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 1050 m², 325 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/fontaine-le-comte-86/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Fontaine-le-Comte 86 Vienne,"Skatepark Fontaine-le-Comte 86 Vienne, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 1050 m², 325 000 € HT",skatepark-fontaine-le-comte-86,https://www.constructo.fr/wp-content/gallery/fontaine-le-comte/FONTAINE-LE-COMTE_01.jpg
2,1,Skatepark Uzès,Skatepark 30 Gard,both,"Skatepark Uzès 30 Gard, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 1890 m², 500 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/uzes-30/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Uzès 30 Gard,"Skatepark Uzès 30 Gard, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 1890 m², 500 000 € HT",skatepark-uzes-30,https://www.constructo.fr/wp-content/gallery/uzes/UZES_01.jpg
3,1,Skatepark Sens,Skatepark 89 Yonne,both,"Skatepark Sens 89 Yonne, Réalisation d’un skatepark polyvalent et d’un terrain de basketball, 1725 m², 520 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/sens-89/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Sens 89 Yonne,"Skatepark Sens 89 Yonne, Réalisation d’un skatepark polyvalent et d’un terrain de basketball, 1725 m², 520 000 € HT",skatepark-sens-89,https://www.constructo.fr/wp-content/gallery/sens/SENS_01.jpg
4,1,Skatepark Fontaine,Skatepark 38 Isère,both,"Skatepark Fontaine 38 Isère, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 870 m², 190 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/fontaine-38/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Fontaine 38 Isère,"Skatepark Fontaine 38 Isère, Réalisation d’un skatepark polyvalent, Constructo Skatepark, 870 m², 190 000 € HT",skatepark-fontaine-38,https://www.constructo.fr/wp-content/gallery/fontaine/FONTAINE_IMAGE.jpg
5,1,Skatepark Chevry,Skatepark 01 Ain,both,"Skatepark Chevry 01 Ain, Réalisation d’un skatepark polyvalent, Constructo Skatepark (conception) + FTPC (réalisation), 350 m², 85 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/chevry-01/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Chevry 01 Ain,"Skatepark Chevry 01 Ain, Réalisation d’un skatepark polyvalent, Constructo Skatepark (conception) + FTPC (réalisation), 350 m², 85 000 € HT",skatepark-chevry-01,https://www.constructo.fr/wp-content/gallery/chevry/CHEVRY_IMAGE.jpg
6,1,Skatepark Montélimar,Skatepark 26 Drôme,both,"Skatepark Montélimar 26 Drôme, Réalisation d’un streetpark, Constructo Skatepark (Conception) + Val-Rhône TP (Réalisation), 360 m², 95 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/montelimar-26/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Montélimar 26 Drôme,"Skatepark Montélimar 26 Drôme, Réalisation d’un streetpark, Constructo Skatepark (Conception) + Val-Rhône TP (Réalisation), 360 m², 95 000 € HT",skatepark-montelimar-26,https://www.constructo.fr/wp-content/gallery/montelimar/MONTELIMAR_IMAGE.jpg
7,1,Skatepark Lens,Skatepark 62 Pas-de-Calais,both,"Skatepark Lens 62 Pas-de-Calais, Réalisation d’un streetpark, Constructo Skatepark + LT Ingénierie (BET cotraitant), 1470 m², 465 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/lens-62/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Lens 62 Pas-de-Calais,"Skatepark Lens 62 Pas-de-Calais, Réalisation d’un streetpark, Constructo Skatepark + LT Ingénierie (BET cotraitant), 1470 m², 465 000 € HT",skatepark-lens-62,https://www.constructo.fr/wp-content/gallery/lens/LENS_01.jpg
8,1,Skatepark Saint-Dié-des-Vosges,Skatepark 88 Vosges,both,"Skatepark Saint-Dié-des-Vosges 88 Vosges, Réalisation d’un skatepark polyvalent, Constructo Skatepark + Parenthèse (paysagiste cotraitant), 1320 m², 380 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/saint-die-des-vosges-88/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Saint-Dié-des-Vosges 88 Vosges,"Skatepark Saint-Dié-des-Vosges 88 Vosges, Réalisation d’un skatepark polyvalent, Constructo Skatepark + Parenthèse (paysagiste cotraitant), 1320 m², 380 000 € HT",skatepark-saint-die-des-vosges-88,https://www.constructo.fr/wp-content/gallery/saint-die-des-vosges/SAINT-DIE-DES-VOSGES_01.jpg
9,1,Skatepark Saint-Marcel-lès-Valence,Skatepark 26 Drôme,both,"Skatepark Saint-Marcel-lès-Valence 26 Drôme, Réalisation d’un skatepark polyvalent et d’un bâtiment sanitaire, Constructo Skatepark, 760 m², 185 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/saint-marcel-les-valence-26/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Saint-Marcel-lès-Valence 26 Drôme,"Skatepark Saint-Marcel-lès-Valence 26 Drôme, Réalisation d’un skatepark polyvalent et d’un bâtiment sanitaire, Constructo Skatepark, 760 m², 185 000 € HT",skatepark-saint-marcel-les-valence-26,https://www.constructo.fr/wp-content/gallery/saint-marcel-les-valence/SAINT-MARCEL-LES-VALENCE_01.jpg
10,1,Skatepark Vence,Skatepark 06 Alpes-Maritimes,both,"Skatepark Vence 06 Alpes-Maritimes, Réalisation d’un skatepark polyvalent et d’un plateau multisports, Constructo Skatepark, 930 m², 180 000 € HT plus d'infos: <p><a href="https://www.constructo.fr/vence-06/" target="_blank">constructo.fr</a></p>",0,0,Skatepark Vence 06 Alpes-Maritimes,"Skatepark Vence 06 Alpes-Maritimes, Réalisation d’un skatepark polyvalent et d’un plateau multisports, Constructo Skatepark, 930 m², 180 000 € HT",skatepark-vence-06,https://www.constructo.fr/wp-content/gallery/vence/VENCE_01.jpg
