ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
1,1,Skatepark Ablis,Skatepark 78 Yvelines,both,"Skatepark Ablis 78 Yvelines, Assistance à la maîtrise d'oeuvre, Skatepark polyvalent, 355m², 80 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Ablis 78 Yvelines,"Skatepark Ablis 78 Yvelines, Assistance à la maîtrise d'oeuvre, Skatepark polyvalent, 355m², 80 000€",skatepark-ablis,https://antidoteskateparks.fr/wp-content/uploads/2020/07/SDV-inauguration-Ablis-skatepark-min-1024x347.jpg
2,1,Skatepark Annoeullin,Skatepark 59 Nord,both,"Skatepark Annoeullin 59 Nord, Assistance à la maîtrise d'ouvrage, Skatepark Polyvalent, 420m², 110 000€ HT <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Annoeullin 59 Nord,"Skatepark Annoeullin 59 Nord, Assistance à la maîtrise d'ouvrage, Skatepark Polyvalent, 420m², 110 000€ HT",skatepark-annoeullin,https://antidoteskateparks.fr/wp-content/uploads/2020/03/réceptionannoeullin_optimized-1024x498.jpg
3,1,Skatepark Achères,Skatepark 78 Yvelines,both,"Skatepark Achères 78 Yvelines <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Achères 78 Yvelines,Skatepark Achères 78 Yvelines,skatepark-acheres,https://antidoteskateparks.fr/wp-content/uploads/2020/09/IMG_4758-min-1024x768.jpg
4,1,Skatepark Ault,Skatepark 80 Somme,both,"Skatepark Ault 80 Somme, Assistance à la maîtrise d'ouvrage, Service technique d'Ault, Streetpark, 344m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Ault 80 Somme,"Skatepark Ault 80 Somme, Assistance à la maîtrise d'ouvrage, Service technique d'Ault, Streetpark, 344m²",skatepark-ault,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20170424_141311-min-1024x165.jpg
5,1,Skatepark Ardres,Skatepark 62 Pas-de-Calais,both,"Skatepark Ardres 62 Pas-de-Calais, Co-traitant MOE, Acanthe Architecture/ Sports des Villes, Streetpark, 315m², 87 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Ardres 62 Pas-de-Calais,"Skatepark Ardres 62 Pas-de-Calais, Co-traitant MOE, Acanthe Architecture/ Sports des Villes, Streetpark, 315m², 87 000€",skatepark-ardres,https://antidoteskateparks.fr/wp-content/uploads/2020/03/ob_1ce144_20141205-103432-1024x576.jpg
6,1,Skatepark Huamanga,Skatepark Pérou,both,"Skatepark Huamanga Pérou, Conception construction, Doctor skatepark/ Team converse/ Oméga Constructora, Bowlpark, 1800m², 257 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Huamanga Pérou,"Skatepark Huamanga Pérou, Conception construction, Doctor skatepark/ Team converse/ Oméga Constructora, Bowlpark, 1800m², 257 00",skatepark-ayacucho,https://antidoteskateparks.fr/wp-content/uploads/2020/03/01-skatepark-ayacucho.jpg
7,1,Skatepark Beaucouzé,Skatepark 49 Maine-et-Loire,both,"Skatepark Beaucouzé 49 Maine-et-Loire, Conception Construction, Services techniques ville de Beaucouzé, Skatepark polyvalent, 346m², 90 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Beaucouzé 49 Maine-et-Loire,"Skatepark Beaucouzé 49 Maine-et-Loire, Conception Construction, Services techniques ville de Beaucouzé, Skatepark polyvalent, 346m², 90 000€",skatepark-beaucouze,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20171002_143732-min-1024x330.jpg
8,1,Skatepark Bayeux,Skatepark 14 Calvados,both,"Skatepark Bayeux 14 Calvados, Assistance à la maîtrise d'ouvrage, Ingé Infra, Skatepark polyvalent, 820m², 165 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bayeux 14 Calvados,"Skatepark Bayeux 14 Calvados, Assistance à la maîtrise d'ouvrage, Ingé Infra, Skatepark polyvalent, 820m², 165 000€",skatepark-bayeux,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20160816_155100-min-1024x392.jpg
9,1,Skatepark Bény-Bocage,Skatepark 14 Calvados,both,"Skatepark Bény-Bocage 14 Calvados, Assistance à la maîtrise d'ouvrage, Service technique du Bény-Bocage, Bowl park, 200m², 70 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bény-Bocage 14 Calvados,"Skatepark Bény-Bocage 14 Calvados, Assistance à la maîtrise d'ouvrage, Service technique du Bény-Bocage, Bowl park, 200m², 70 000€",skatepark-le-beny-bocage,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20150508_144403-min-1024x576.jpg
10,1,Skatepark Bondues,Skatepark 59 Nord,both,"Skatepark Bondues 59 Nord, Conception Construction, Doctor Skateparks/ TRBA, Skatepark polyvalent, 440m², 120 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Bondues 59 Nord,"Skatepark Bondues 59 Nord, Conception Construction, Doctor Skateparks/ TRBA, Skatepark polyvalent, 440m², 120 000€",skatepark-bondues,https://antidoteskateparks.fr/wp-content/uploads/2020/03/WhatsApp-Image-2018-06-21-at-11.21.11-1-1024x750.jpeg
