ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
1,1,Skatepark Cuers,Skatepark 83 Var,both,"Skatepark Cuers 83 Var, Victor Brevière, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Cuers 83 Var,"Skatepark Cuers 83 Var, Victor Brevière, 2023",skatepark-references-cuers,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/construction_skatepark_sud.jpg
2,1,Skatepark Saint-Pierre-d'Oléron,Skatepark 17 Charente-Maritime,both,"Skatepark Saint-Pierre-d'Oléron 17 Charente-Maritime, Hall 04, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Saint-Pierre-d'Oléron 17 Charente-Maritime,"Skatepark Saint-Pierre-d'Oléron 17 Charente-Maritime, Hall 04, 2023",skatepark-references-saint-pierre-d-oleron,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/aire_ludique.jpeg
3,1,Skatepark Teil,Skatepark 07 Ardèche,both,"Skatepark Teil 07 Ardèche, Victor Brevière, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Teil 07 Ardèche,"Skatepark Teil 07 Ardèche, Victor Brevière, 2023",skatepark-references-le-teil,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/aire_de_glisse_montelimar.jpg
4,1,Skatepark Corcieux,Skatepark 88 Vosges,both,"Skatepark Corcieux 88 Vosges, Connexion Sport Urbain, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Corcieux 88 Vosges,"Skatepark Corcieux 88 Vosges, Connexion Sport Urbain, 2023",skatepark-references-corcieux,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/corcieux_territoire_skatepark.jpg
5,1,Skatepark Cannes,Skatepark 06 Alpes-Maritimes,both,"Skatepark Cannes 06 Alpes-Maritimes, Constructo Skatepark, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Cannes 06 Alpes-Maritimes,"Skatepark Cannes 06 Alpes-Maritimes, Constructo Skatepark, 2023",skatepark-references-cannes,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/cannes_skatepark.jpg
6,1,Skatepark Puy-en-Velay,Skatepark 43 Haute-Loire,both,"Skatepark Puy-en-Velay 43 Haute-Loire, Connexion Sport Urbain, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Puy-en-Velay 43 Haute-Loire,"Skatepark Puy-en-Velay 43 Haute-Loire, Connexion Sport Urbain, 2023",skatepark-references-le-puy-en-velay,https://www.territoireskatepark.fr/wp-content/uploads/2023/07/beton_coule_en_place.jpg
7,1,Skatepark Balma,Skatepark 31 Haute-Garonne,both,"Skatepark Balma 31 Haute-Garonne, Confluence Skatepark, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Balma 31 Haute-Garonne,"Skatepark Balma 31 Haute-Garonne, Confluence Skatepark, 2023",skatepark-references-balma,https://www.territoireskatepark.fr/wp-content/uploads/2024/01/balma_skate.jpg
8,1,Skatepark Berre Etang,Skatepark 13 Bouches-du-Rhône,both,"Skatepark Berre Etang 13 Bouches-du-Rhône, Constructo Skateparks, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Berre Etang 13 Bouches-du-Rhône,"Skatepark Berre Etang 13 Bouches-du-Rhône, Constructo Skateparks, 2023",skatepark-references-berre-l-etang,https://www.territoireskatepark.fr/wp-content/uploads/2023/07/berre_l_etang.jpg
9,1,Skatepark Carpentras,Skatepark 84 Vaucluse,both,"Skatepark Carpentras 84 Vaucluse, Constructo Skateparks, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Carpentras 84 Vaucluse,"Skatepark Carpentras 84 Vaucluse, Constructo Skateparks, 2023",skatepark-references-carpentras,https://www.territoireskatepark.fr/wp-content/uploads/2023/03/carpentras-skate.jpg
10,1,Skatepark Plan d'Orgon,Skatepark 13 Bouches-du-Rhône,both,"Skatepark Plan d'Orgon 13 Bouches-du-Rhône, Victor Breviere, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Plan d'Orgon 13 Bouches-du-Rhône,"Skatepark Plan d'Orgon 13 Bouches-du-Rhône, Victor Breviere, 2023",skatepark-references-plan-d-orgon,https://www.territoireskatepark.fr/wp-content/uploads/2023/02/skate-plan-dorgon-scaled.jpg
11,1,Skatepark Goudargues,Skatepark 30 Gard,both,"Skatepark Goudargues 30 Gard, Constructo Skateparks, 2023 <br><p>Source : <a href=""https://www.territoireskatepark.fr"" target=""_blank"">territoireskatepark.fr</a></p>",0,0,Skatepark Goudargues 30 Gard,"Skatepark Goudargues 30 Gard, Constructo Skateparks, 2023",skatepark-references-goudargues,https://www.territoireskatepark.fr/wp-content/uploads/2023/02/beton-skatepark.jpg
